timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
2,A06,10,3_23,TBSV,TBSV,15.74,17.97,-2.23,-0.819,1.76418273,0.246543566
2,C09,3,3_23,TBSV,TBSV,15.035,20.705,-5.67,-4.259,19.14638341,1.282086752
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-0.009,1.006257823,0.00270927
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,1.416,0.3747499,-0.426258474
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,0.806,0.571965487,-0.242630177
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,3.661,0.079054971,-1.102070814
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,85.906,1.38E-26,-25.86028281
2,G03,23,3_23,DI73,TBSV_DI72,100,15.505,84.495,85.906,1.38E-26,-25.86028281
2,E03,11,3_23,DI73,TBSV_DI72,30.435,16.52,13.915,15.326,2.43E-05,-4.613585714
2,G10,33,3_23,DI73,TBSV_DI72,32.07,16.68,15.39,16.801,8.76E-06,-5.057604957
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,18.676,2.39E-06,-5.622036199
2,G08,33,3_23,TBSV,TBSV_DI72,15.23,15.095,0.135,1.546,0.342458245,-0.465392373
2,G01,23,3_23,TBSV,TBSV_DI72,13.53,15.875,-2.345,-0.934,1.910565873,0.281162016
2,F04,24,3_23,TBSV,TBSV_DI72,25.72,16.125,9.595,11.006,0.000486255,-3.313136132
2,E01,11,3_23,TBSV,TBSV_DI72,17.42,16.62,0.8,2.211,0.215984547,-0.66557732
2,E04,24,3_23,TBSV,TBSV_DI72,14.25,16.67,-2.42,-1.009,2.012515647,0.303739266
2,G05,21,3_23,TBSV,TBSV_DI72,15.34,19.165,-3.825,-2.414,5.3294993,0.72668641
2,A05,na,4_9,DI73,neg_ctrl,33.55333333,11.69333333,21.86,,,
2,A04,na,4_9,TBSV,neg_ctrl,41.59666667,27.26666667,14.33,,,
2,A02,na,4_9,DI72,pos_ctrl,34.34666667,20.57666667,13.77,,,
2,A03,na,4_9,DI73,pos_ctrl,34.34666667,20.34666667,14,,,
2,A01,na,4_9,TBSV,pos_ctrl,34.25333333,23.99666667,10.25666667,,,
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,5.301,0.025365299,-1.595760007
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,4.591,0.041492661,-1.38202871
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995,8.406,0.002948098,-2.530458144
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,5.816,0.017750457,-1.750790455
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,10.046,0.000945916,-3.024147336
2,E12,8,4_9,DI73,TBSV,100,13.895,86.105,87.516,4.52E-27,-26.3449411
2,A11,16,4_9,DI73,TBSV,100,15.41,84.59,86.001,1.29E-26,-25.88888066
2,C11,29,4_9,DI73,TBSV,100,16.14,83.86,85.271,2.14E-26,-25.66912876
2,A08,25,4_9,DI73,TBSV,100,18.46,81.54,82.951,1.07E-25,-24.97073917
2,C08,17,4_9,DI73,TBSV,39.765,18.555,21.21,22.621,1.55E-07,-6.809599532
2,A12,8,4_9,TBSV,TBSV,19.795,15.21,4.585,5.996,0.015668382,-1.804975854
2,C09,29,4_9,TBSV,TBSV,14.69,15.52,-0.83,0.581,0.668500248,-0.174898427
2,A09,16,4_9,TBSV,TBSV,20.74,16.11,4.63,6.041,0.015187203,-1.818522204
2,A06,25,4_9,TBSV,TBSV,15.81,18.19,-2.38,-0.969,1.957483301,0.291698066
2,C06,17,4_9,TBSV,TBSV,14.435,19.405,-4.97,-3.559,11.78598149,1.071365755
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075,7.486,0.005578141,-2.253510548
2,G06,21,4_9,DI72,TBSV_DI73,19.185,14.84,4.345,5.756,0.018504244,-1.732728655
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85,6.261,0.013039208,-1.884748803
2,E02,22,4_9,DI72,TBSV_DI73,30.995,15.57,15.425,16.836,8.55E-06,-5.068141007
2,G02,14,4_9,DI72,TBSV_DI73,29.59,17.01,12.58,13.991,6.14E-05,-4.211710669
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77,7.181,0.006891339,-2.161696399
2,G07,21,4_9,DI73,TBSV_DI73,100,16.23,83.77,85.181,2.28E-26,-25.64203606
2,G04,30,4_9,DI73,TBSV_DI73,100,16.56,83.44,84.851,2.87E-26,-25.54269616
2,E03,22,4_9,DI73,TBSV_DI73,100,17.705,82.295,83.706,6.34E-26,-25.19801682
2,G03,14,4_9,DI73,TBSV_DI73,100,18.54,81.46,82.871,1.13E-25,-24.94665677
2,G08,3,4_9,TBSV,TBSV_DI73,14.38,14.39,-0.01,1.401,0.378666579,-0.421743024
2,E04,30,4_9,TBSV,TBSV_DI73,13.725,15.215,-1.49,-0.079,1.056285625,0.02378137
2,G05,21,4_9,TBSV,TBSV_DI73,17.07,16.11,0.96,2.371,0.193311584,-0.71374212
2,E01,22,4_9,TBSV,TBSV_DI73,14.765,16.28,-1.515,-0.104,1.074749173,0.03130712
2,G01,14,4_9,TBSV,TBSV_DI73,13.74,17.03,-3.29,-1.879,3.678200185,0.565635362
2,A05,na,8_1,DI72,neg_ctrl,36.13,100,-63.87,,,
2,A04,na,8_1,TBSV,neg_ctrl,31.075,25.88,5.195,,,
2,G11,na,8_1,DI72,neg_plt,42.005,10.1,31.905,,,
2,G12,na,8_1,DI73,neg_plt,100,11.3,88.7,,,
2,G10,na,8_1,TBSV,neg_plt,31.23,11.035,20.195,,,
