timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct,,,,,,
,,,,,,,,,,,,,,,-9.264166667,614.8823848,2.788792051
,,,,,,,,,,,,,,,-8.934166667,489.1613703,2.689452153
,,,,,,,,,,,,,,,8.594166667,0.002587605,-2.587101954
,,,,,,,,,,,,,,,3.929166667,0.0656452,-1.182797025
,,,,,,,,,,,,,,,4.105,0.058112809,-1.235728132
,,,,,,,,,,,,,,,0.46,0.726986259,-0.138473798
,,,,,,,,,,,,,,,16.14,1.38476E-05,-4.85862413
,,,,,,,,,,,,,,,13.44,8.99823E-05,-4.045843142
,,,,,,,,,,,,,,,14.39,4.65777E-05,-4.331821638
,,,,,,,,,,,,,,,5.625,0.020263118,-1.693293726
,,,,,,,,,,,,,,,13.40333333,9.22985E-05,-4.034805375
,,,,,,,,,,,,,,,13.67333333,7.65449E-05,-4.116083474
,,,,,,,,,,,,,,,-9.501666667,724.9143142,2.860286675
,,,,,,,,,,,,,,,-23.86666667,15296165.12,7.184582563
,,,,,,,,,,,,,,,11.42333333,0.000364111,-3.438765984
,,,,,,,,,,,,,,,14.73333333,3.67134E-05,-4.435175269
,,,,,,,,,,,,,,,-2.146666667,4.428035126,0.646211057
,,,,,,,,,,,,,,,-7.661666667,202.4843599,2.306391483
,,,,,,,,,,,,,,,11.93041667,0.000256204,-3.591413277
,,,,,,,,,,,,,,,10.60375,0.000642618,-3.192046817
,,,,,,,,,,,,,,,-9.484583333,716.3810343,2.85514408
,,,,,,,,,,,,,,,-21.52458333,3016791.026,6.479545228
