timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815
3,A10,40,8_1,TBSV,TBSV,19.515,14.14,5.375
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25
3,C01,9,8_1,TBSV,TBSV,19.77,14.325,5.445
2,A12,8,4_9,TBSV,TBSV,19.795,15.21,4.585
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85
3,A11,10,4_9,DI72,TBSV_DI73,20.005,16.095,3.91
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075
2,G03,25,8_10,DI73,TBSV_DI73,20.25,16.26,3.99
3,H03,25,8_10,DI73,TBSV_DI73,20.31,16.29,4.02
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01
3,A04,32,4_9,DI72,TBSV_DI73,20.585,17.06,3.525
2,A09,16,4_9,TBSV,TBSV,20.74,16.11,4.63
2,C02,24,8_1,DI72,TBSV_DI73,21.11,16.235,4.875
1,A06,30,3_23,TBSV,TBSV,21.2,12.16,9.04
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77
3,E01,19,4_9,DI72,TBSV,21.55,16.32,5.23
2,E10,31,8_10,TBSV,TBSV_DI72,21.59,11.7,9.89
1,E10,27,8_10,TBSV,TBSV_DI72,21.61,10.54,11.07
3,E10,18,8_10,TBSV,TBSV_DI72,21.755,18.26,3.495
2,G02,25,8_10,DI72,TBSV_DI73,22.08,19.67,2.41
3,H02,25,8_10,DI72,TBSV_DI73,22.25,18.82,3.43
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3
3,G03,28,4_9,DI72,TBSV,23.095,12.69,10.405
1,G09,9,3_23,DI72,TBSV_DI72,23.72,13.955,9.765
3,G06,11,4_9,DI72,TBSV,23.865,17.265,6.6
1,A10,22,3_23,DI72,TBSV,23.895,15.085,8.81
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85
