timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
3,C08,31,8_1,DI72,TBSV,19.125,18.415,0.71,-51.077,-0.153017241,15.81820997
2,C06,36,8_1,DI73,TBSV,29.235,12.11,17.125,-54.03,-0.150656934,0.021636128
2,G03,20,8_1,DI73,TBSV_DI73,29.5,18.06,11.44,-59.715,-0.126311189,0.000569371
3,G07,7,3_23,DI73,TBSV_DI72,30.075,16.71,13.365,-57.79,-0.124579125,0.004395224
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-58.525,-0.109659541,-0.000444255
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-59.145,-0.107410491,-0.00204582
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,-51.172,-0.100737101,10.90157648
2,C12,52,8_10,DI73,TBSV_DI72,31.765,15.865,15.9,-55.255,-0.098742138,0.002877568
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-58.995,-0.097861842,-0.00374608
3,C12,1,8_10,DI73,TBSV_DI73,100,22.85,77.15,5.995,-0.089500972,-0.916430359
1,C11,31,3_23,DI73,TBSV,100,17.195,82.805,11.65,-0.088581607,-0.508497854
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-59.115,-0.083471761,-0.006867969
2,G09,37,8_1,DI73,TBSV_DI73,39,18.075,20.925,-50.23,-0.082198327,162.5566343
3,C09,31,8_1,DI73,TBSV,100,41.34,58.66,-12.495,-0.079099898,0.258423369
1,C08,15,3_23,DI73,TBSV,100,17.975,82.025,10.87,-0.075342883,-0.438730451
1,G10,31,4_9,DI73,TBSV_DI73,100,17.165,82.835,11.68,-0.067785356,-2.778306375
1,G03,23,4_9,DI73,TBSV_DI73,100,19.195,80.805,9.65,-0.066085019,-0.407150259
1,E12,2,4_9,DI73,TBSV,100,20.72,79.28,8.125,-0.06514884,-0.462030769
3,A12,46,8_10,DI73,TBSV,100,19.92,80.08,8.925,-0.062687313,-0.404369748
2,C03,24,8_1,DI73,TBSV_DI73,100,32.08,67.92,-3.235,-0.060070671,0.82503864
1,A08,12,4_9,DI73,TBSV,100,18.75,81.25,10.095,-0.058892308,-0.334224864
3,C12,3,8_1,DI73,TBSV_DI72,34.355,20.01,14.345,-56.81,-0.057859881,-0.010227073
2,C03,53,8_10,DI73,TBSV,100,19.37,80.63,9.475,-0.050539501,-0.28116095
1,C08,20,4_9,DI73,TBSV,100,15.675,84.325,13.17,-0.047014527,-0.193887623
2,A11,2,3_23,DI73,TBSV,100,17.94,82.06,10.905,-0.044296856,-0.203943145
2,E09,44,8_10,DI73,TBSV_DI72,100,20.52,79.48,8.325,-0.043532964,-0.246126126
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105,-57.05,-0.041474654,-0.014478528
2,G03,14,4_9,DI73,TBSV_DI73,100,18.54,81.46,10.305,-0.04038792,-0.182338671
2,A12,46,8_1,DI73,TBSV,100,19.215,80.785,9.63,-0.035959646,-0.155140187
2,G02,20,8_1,DI72,TBSV_DI73,16.255,16.205,0.05,-51.737,-0.034602076,1521.676471
3,G05,11,4_9,DI73,TBSV,100,18.535,81.465,10.31,-0.030565273,-0.104655674
3,A09,12,8_1,DI73,TBSV,100,19.525,80.475,9.32,-0.029574402,-0.103969957
3,C08,20,3_23,DI73,TBSV,100,16.955,83.045,11.89,-0.029441869,-0.086963835
1,E03,7,4_9,DI73,TBSV_DI73,100,17.095,82.905,11.75,-0.029370967,-0.087148936
2,A08,25,4_9,DI73,TBSV,100,18.46,81.54,10.385,-0.029188129,-0.093307655
1,E06,54,8_10,DI73,TBSV_DI72,100,16.32,83.68,12.525,-0.029098948,-0.081756487
2,A09,32,8_1,DI73,TBSV,100,19.055,80.945,9.79,-0.028105504,-0.08825332
3,E06,49,8_1,DI73,TBSV_DI73,100,14.855,85.145,13.99,-0.02594985,-17.52035066
1,G03,41,8_10,DI73,TBSV_DI73,100,15.915,84.085,12.93,-0.018849973,-74.31034483
2,E03,22,4_9,DI73,TBSV_DI73,100,17.705,82.295,11.14,-0.018409381,-0.009335727
2,G04,30,4_9,DI73,TBSV_DI73,100,16.56,83.44,12.285,-0.017857143,-155.5063291
3,G09,2,8_1,DI73,TBSV_DI73,100,29.68,70.32,-0.835,-0.016069397,-0.336526946
3,A08,16,3_23,DI73,TBSV,100,15.595,84.405,13.25,-0.013861738,0.018188679
2,C11,29,4_9,DI73,TBSV,100,16.14,83.86,12.705,-0.009897448,0.045730028
3,C10,15,4_9,DI73,TBSV_DI73,100,17.375,82.625,11.47,-0.005083207,0.086399303
3,A03,32,4_9,DI73,TBSV_DI73,100,18.93,81.07,9.915,-0.003947206,9.087992667
3,G04,19,3_23,DI73,TBSV_DI72,100,16.41,83.59,12.435,-0.003349683,0.090952955
3,C06,21,8_1,DI73,TBSV,100,32.57,67.43,-3.725,-0.002891888,-0.326442953
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77,-65.385,-0.001733102,-0.021426933
3,G03,50,8_1,DI73,TBSV_DI73,42.465,10.66,31.805,-39.35,-0.000943248,-28.49384504
3,E06,42,8_1,DI73,TBSV_DI72,100,31.79,68.21,-2.945,-0.000806333,-0.460441426
1,A06,na,8_1,DI73,neg_ctrl,100,100,0,-41.14933333,0,-1.088739805
3,A05,na,8_1,DI72,neg_ctrl,100,100,0,28.40925926,0,0.729932754
1,A03,na,4_9,DI73,pos_ctrl,12.92,12.92,0,3.400909091,0,0.219823914
3,G06,29,8_10,DI73,TBSV_DI73,100,100,0,-71.155,0,22.66804715
3,A06,4,4_9,DI73,TBSV_DI73,100,15.96,84.04,12.885,0.001368396,0.118432286
2,E09,38,8_1,DI73,TBSV_DI72,40.32,16.775,23.545,-47.61,0.002123593,-0.03068683
3,E12,6,3_23,DI73,TBSV,100,15.59,84.41,13.255,0.004857244,0.13738212
