timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,phenotype,recovery
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-0.368217054,2,N
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,-0.350464735,2,N
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-0.253723932,2,N
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,-0.183259912,2,N
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-0.109659541,2,N
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-0.107410491,2,N
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,-0.100737101,2,N
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-0.097861842,2,N
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,0.01914171,2,N
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,0.029564523,2,N
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,0.060842434,2,N
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.1005,19.9845,0.095073682,2,N
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,0.235690236,2,N
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,0.358044164,2,N
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,0.366871166,2,N
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,0.409001957,2,N
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,0.419732441,2,N
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,0.592057762,2,N
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44,1.189189189,2,N
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,1.505263158,2,N
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,2.041832669,2,N
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525,-3.623063683,3.5,N
2,C02,24,8_1,DI72,TBSV_DI73,21.11,16.235,4.875,-1.194852941,3.5,N
2,C11,17,8_1,DI72,TBSV_DI72,16.335,17.09,-0.755,-0.594488189,3,N
2,C06,34,8_1,DI73,TBSV_DI73,29.66,19.335,10.325,-0.442615012,3.5,N
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73,-0.320879121,3.5,N
2,C09,48,8_1,DI73,TBSV,29.62,18.095,11.525,-0.223427332,3.5,N
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48,-0.186407767,3.5,N
2,C06,36,8_1,DI73,TBSV,29.235,12.11,17.125,-0.150656934,3.5,N
