timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77,-0.001733102,agro
3,G03,50,8_1,DI73,TBSV_DI73,42.465,10.66,31.805,-0.000943248,agro
3,E06,42,8_1,DI73,TBSV_DI72,100,31.79,68.21,-0.000806333,agro
1,A06,na,8_1,DI73,neg_ctrl,100,100,0,0,agro
3,A05,na,8_1,DI72,neg_ctrl,100,100,0,0,agro
1,A03,na,4_9,DI73,pos_ctrl,12.92,12.92,0,0,agro
3,G06,29,8_10,DI73,TBSV_DI73,100,100,0,0,agro
3,A06,4,4_9,DI73,TBSV_DI73,100,15.96,84.04,0.001368396,agro
2,E09,38,8_1,DI73,TBSV_DI72,40.32,16.775,23.545,0.002123593,agro
3,E12,6,3_23,DI73,TBSV,100,15.59,84.41,0.004857244,agro
2,G10,33,3_23,DI73,TBSV_DI72,32.07,16.68,15.39,0.00877193,agro
1,A09,5,8_10,DI73,TBSV,100,12.965,87.035,0.008961912,agro
2,G07,21,4_9,DI73,TBSV_DI73,100,16.23,83.77,0.01145995,agro
2,E12,41,8_1,DI73,TBSV_DI72,35.74,17.255,18.485,0.012442521,agro
3,G03,4,3_23,DI73,TBSV_DI72,33.805,16.57,17.235,0.012764723,agro
2,G06,15,8_1,DI73,TBSV_DI73,24.365,15.755,8.61,0.015098722,agro
3,E12,45,8_1,DI73,TBSV_DI72,100,17.44,82.56,0.018834787,agro
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,0.01914171,agro
1,G10,9,3_23,DI73,TBSV_DI72,40.83,12.325,28.505,0.025083319,agro
3,A10,10,4_9,DI73,TBSV_DI73,100,17.59,82.41,0.025725033,agro
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,0.02617801,agro
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,0.029564523,agro
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,0.032357473,agro
4,E06,30,8_1,DI73,rcvrd_leaf,100,14.125,85.875,0.033537118,agro
1,G07,26,4_9,DI73,TBSV_DI73,26.82,12.82,14,0.033928571,agro
3,E03,33,8_1,DI73,TBSV_DI72,100,19.055,80.945,0.034406078,agro
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,0.037037037,agro
2,E03,7,8_1,DI73,TBSV_DI72,30.07,17.11,12.96,0.03742284,agro
