timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,2pwrnegratio,log_2pwrnegratio
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-3.035,0.230360531,0.852421844,-0.06934543
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,0.235690236,0.849278577,-0.070949831
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57,0.246467818,0.842957723,-0.074194206
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,0.250868659,0.840390257,-0.075518991
4,G02,5,8_1,DI72,rcvrd_leaf,12.835,11.325,1.51,0.281716418,0.822611749,-0.084805092
2,E11,31,8_10,DI72,TBSV_DI72,16.78,13.99,2.79,0.282103134,0.822391276,-0.084921505
3,E02,4,8_10,DI72,neg_plt,33.395,18.14,15.255,0.292689946,0.816378478,-0.088108453
4,G05,18,8_1,DI72,rcvrd_leaf,14.72,13.495,1.225,0.300613497,0.811907065,-0.09049368
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26,0.333333333,0.793700526,-0.100343332
3,A11,40,8_1,DI72,TBSV,18.135,16.305,1.83,0.340465116,0.789786648,-0.102490212
3,G11,4,8_10,DI72,neg_plt,33.04,14.3,18.74,0.359554873,0.779405019,-0.108236802
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,0.409001957,0.753144212,-0.123121857
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,0.419732441,0.747563253,-0.126352055
2,C05,42,8_10,DI72,TBSV,27.73,29.87,-2.14,0.432760364,0.740842945,-0.13027385
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.21,0.432989691,0.740725192,-0.130342885
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,0.434056007,0.740177914,-0.130663878
3,C06,23,8_10,DI73,TBSV,31.655,35.44,-3.785,0.457678356,0.728157097,-0.137774913
2,C05,34,8_1,DI72,TBSV_DI73,15.155,17.305,-2.15,0.470459519,0.721734679,-0.141622427
3,G02,4,3_23,DI72,TBSV_DI72,15.925,15.815,0.11,0.5,0.707106781,-0.150514998
3,A09,6,4_9,DI73,TBSV_DI73,29.985,33.43,-3.445,0.540816327,0.687381855,-0.162801936
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995,0.552544248,0.681816658,-0.166332393
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,0.57195572,0.672704251,-0.172175828
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,0.592057762,0.663396009,-0.178227145
3,A11,46,8_10,DI72,TBSV,30.325,33.31,-2.985,0.594621514,0.662218163,-0.178998912
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095,0.613445378,0.653633858,-0.18466546
4,E08,38,8_1,DI72,rcvrd_leaf,14.69,12.19,2.5,0.620347395,0.650514268,-0.186743173
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42,0.625550661,0.64817233,-0.188309513
2,G05,40,8_10,DI72,TBSV_DI73,16.97,20.1,-3.13,0.649377593,0.637555308,-0.195482134
2,C05,36,8_1,DI72,TBSV,15.485,17.165,-1.68,0.651162791,0.636766882,-0.196019532
3,E11,45,8_1,DI72,TBSV_DI72,18.71,17.665,1.045,0.672025723,0.627624805,-0.202299901
2,A10,16,4_9,DI72,TBSV,17.41,14.23,3.18,0.686825054,0.621219467,-0.206754943
3,G08,2,8_1,DI72,TBSV_DI73,16.85,17.68,-0.83,0.734513274,0.601020758,-0.221110528
4,E05,30,8_1,DI72,rcvrd_leaf,18.15,15.98,2.17,0.753472222,0.59317421,-0.22681774
1,G11,30,8_10,DI72,neg_plt,28.82,13.33,15.49,0.763995068,0.588863408,-0.229985432
2,C12,8,4_9,DI72,TBSV,17.005,13.115,3.89,0.848418757,0.555393132,-0.255399495
3,C02,9,8_1,DI72,TBSV,18.31,13.64,4.67,0.857667585,0.551844007,-0.258183669
4,E11,35,8_1,DI72,rcvrd_leaf,14.62,12.21,2.41,0.862254025,0.550092438,-0.259564325
3,E05,15,8_10,DI72,TBSV_DI72,18.27,22.91,-4.64,0.882129278,0.542566065,-0.265547373
3,E02,33,8_1,DI72,TBSV_DI72,17.33,14.735,2.595,0.931777379,0.524212122,-0.28049294
2,G12,37,8_10,DI73,neg_plt,100,13.84,86.16,0.988300069,0.504071374,-0.297507965
3,H12,37,8_10,DI73,neg_plt,100,13.73,86.27,0.988654595,0.503947519,-0.297614689
3,E03,36,8_10,DI73,TBSV_DI72,100,17.695,82.305,0.991626506,0.50291047,-0.298509323
2,G08,16,8_10,DI72,TBSV_DI73,15.71,19.94,-4.23,1,0.5,-0.301029996
3,C12,21,8_10,DI73,TBSV_DI72,100,16.03,83.97,1.029233315,0.489970462,-0.3098301
2,E05,23,8_1,DI72,TBSV_DI72,16.24,14.06,2.18,1.055690073,0.481067062,-0.317794378
3,H08,16,8_10,DI72,TBSV_DI73,15.62,20.11,-4.49,1.063981043,0.478310364,-0.320290209
3,G09,17,3_23,DI72,TBSV_DI72,17.05,13.485,3.565,1.086890244,0.470775046,-0.327186565
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44,1.189189189,0.438549261,-0.357981616
3,G06,7,3_23,DI72,TBSV_DI72,16.015,18.03,-2.015,1.21021021,0.432205636,-0.364309574
3,E08,22,8_1,DI72,TBSV_DI72,18.775,13.615,5.16,1.296482412,0.407117626,-0.390280095
3,H05,40,8_10,DI72,TBSV_DI73,16.46,21.16,-4.7,1.316526611,0.401500416,-0.396314
1,G12,30,8_10,DI73,neg_plt,39.82,11.595,28.225,1.392108508,0.38100755,-0.419066418
3,E02,18,3_23,DI72,TBSV_DI72,16.615,13.055,3.56,1.47107438,0.360713574,-0.442837514
1,E08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,1.505263158,0.352265927,-0.453129362
3,E03,4,8_10,DI73,neg_plt,100,17.215,82.785,1.588353799,0.332550697,-0.478142137
3,G12,4,8_10,DI73,neg_plt,100,14.55,85.45,1.639485802,0.320970853,-0.493534404
3,A11,10,4_9,DI72,TBSV_DI73,20.005,16.095,3.91,1.844339623,0.278482848,-0.555201549
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,2.041832669,0.24285504,-0.61465288
3,G03,28,4_9,DI72,TBSV,23.095,12.69,10.405,2.276805252,0.206354206,-0.685386675
1,A09,8,8_1,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,2.725752508,0.15117039,-0.820533266
1,A03,35,8_1,DI73,TBSV_DI73,24.11,8.26,15.85,2.792951542,0.144290524,-0.840762191
1,G06,26,4_9,DI72,TBSV_DI73,14.71,13.375,1.335,2.810526316,0.142543453,-0.846052725
3,G05,29,8_10,DI72,TBSV_DI73,27.22,40.1,-12.88,2.830769231,0.140557347,-0.852146449
2,C11,52,8_10,DI72,TBSV_DI72,16.33,21.535,-5.205,3.315286624,0.100461413,-0.998000718
