timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct,method
2,A08,25,4_9,DI73,TBSV,100,18.46,81.54,10.385,0.000747831,-3.126196505,agro
2,C08,17,4_9,DI73,TBSV,39.765,18.555,21.21,-49.945,1.08E+15,15.03494313,agro
2,A12,8,4_9,TBSV,TBSV,19.795,15.21,4.585,5.996,0.015668382,-1.804975854,agro
2,C09,29,4_9,TBSV,TBSV,14.69,15.52,-0.83,0.581,0.668500248,-0.174898427,agro
2,A09,16,4_9,TBSV,TBSV,20.74,16.11,4.63,6.041,0.015187203,-1.818522204,agro
2,A06,25,4_9,TBSV,TBSV,15.81,18.19,-2.38,-0.969,1.957483301,0.291698066,agro
2,C06,17,4_9,TBSV,TBSV,14.435,19.405,-4.97,-3.559,11.78598149,1.071365755,agro
2,G09,3,4_9,DI72,TBSV_DI73,20.225,14.15,6.075,-45.712,5.76E+13,13.76068316,agro
2,G06,21,4_9,DI72,TBSV_DI73,19.185,14.84,4.345,-47.442,1.91E+14,14.28146505,agro
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85,-46.937,1.35E+14,14.12944491,agro
2,E02,22,4_9,DI72,TBSV_DI73,30.995,15.57,15.425,-36.362,8.83E+10,10.9460527,agro
2,G02,14,4_9,DI72,TBSV_DI73,29.59,17.01,12.58,-39.207,6.35E+11,11.80248304,agro
2,G10,3,4_9,DI73,TBSV_DI73,21.37,15.6,5.77,-65.385,4.82E+19,19.68284627,agro
2,G07,21,4_9,DI73,TBSV_DI73,100,16.23,83.77,12.615,0.000159407,-3.797493395,agro
2,G04,30,4_9,DI73,TBSV_DI73,100,16.56,83.44,12.285,0.000200376,-3.698153497,agro
2,E03,22,4_9,DI73,TBSV_DI73,100,17.705,82.295,11.14,0.000443125,-3.353474152,agro
2,G03,14,4_9,DI73,TBSV_DI73,100,18.54,81.46,10.305,0.000790471,-3.102114105,agro
