timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwr_negddct,log_2pwr_negddct
1,D11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-30.0225,1090618963,9.037673045
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-31.0875,2281760145,9.35826999
1,F08,39,8_1,DI72,TBSV_DI72,14.675,11.815,2.86,-27.6375,208793274.4,8.319716505
1,D11,12,8_10,DI72,TBSV_DI72,16.21,15.125,1.085,-29.4125,714569947.9,8.854044747
1,E08,17,8_10,DI72,TBSV_DI72,16.285,18,-1.715,-32.2125,4976554165,9.696928735
1,E11,27,8_10,DI72,TBSV_DI72,16.525,12.835,3.69,-26.8075,117452322.5,8.069861609
1,E02,47,8_10,DI72,TBSV_DI72,16.68,16.35,0.33,-30.1675,1205930819,9.081322394
1,F05,54,8_10,DI72,TBSV_DI72,34.59,19.145,15.445,-15.0525,33982.39704,4.53125401
1,G10,9,3_23,DI73,TBSV_DI72,32.1,12.325,19.775,-22.7175,6896820.556,6.838648926
1,H03,25,3_23,DI73,TBSV_DI72,27.715,13.03,14.685,-27.8075,234904644.9,8.370891604
1,H07,27,3_23,DI73,TBSV_DI72,36.57,13.02,23.55,-18.9425,503802.9346,5.702260693
1,F03,28,3_23,DI73,TBSV_DI72,26.525,17.82,8.705,-33.7875,14826921168,10.17105098
1,H04,32,3_23,DI73,TBSV_DI72,24.755,18.435,6.32,-36.1725,77447520478,10.88900752
1,E03,5,8_1,DI73,TBSV_DI72,30.195,17.68,12.515,-29.9775,1057125855,9.024126695
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-29.8625,976131315.1,8.989508246
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-30.4825,1500191992,9.176146843
1,E06,13,8_1,DI73,TBSV_DI72,33.41,17.215,16.195,-26.2975,82477656.21,7.916336311
1,E09,39,8_1,DI73,TBSV_DI72,32.085,12.455,19.63,-22.8625,7626025.899,6.882298276
1,D12,12,8_10,DI73,TBSV_DI72,26.81,14.045,12.765,-29.7275,888933342.3,8.948869196
1,E09,17,8_10,DI73,TBSV_DI72,26.2,16.365,9.835,-32.6575,6774653437,9.830887083
1,F12,27,8_10,DI73,TBSV_DI72,39.945,10.9,29.045,-13.4475,11171.22674,4.048100867
1,E03,47,8_10,DI73,TBSV_DI72,29.71,14.92,14.79,-27.7025,218415499.9,8.339283455
1,E06,54,8_10,DI73,TBSV_DI72,45,16.32,28.68,-13.8125,14387.2177,4.157976815
1,H08,9,3_23,TBSV,TBSV_DI72,13.125,14.195,-1.07,-39.37625,7.13563E+11,11.85343237
1,G01,25,3_23,TBSV,TBSV_DI72,14.995,15.22,-0.225,-38.53125,3.97248E+11,11.59906202
1,G05,27,3_23,TBSV,TBSV_DI72,12.485,15.115,-2.63,-40.93625,2.10397E+12,12.32303916
1,E01,28,3_23,TBSV,TBSV_DI72,13.795,22.265,-8.47,-46.77625,1.20519E+14,14.08105433
1,F04,32,3_23,TBSV,TBSV_DI72,12.79,20.845,-8.055,-46.36125,9.03914E+13,13.95612689
1,F01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37,-37.93625,2.62996E+11,11.41994917
1,F10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385,-39.69125,8.87681E+11,11.94825682
1,C10,11,8_1,TBSV,TBSV_DI72,14.925,16.215,-1.29,-39.59625,8.31111E+11,11.91965897
1,F04,13,8_1,TBSV,TBSV_DI72,17.915,17.605,0.31,-37.99625,2.74164E+11,11.43801097
1,F07,39,8_1,TBSV,TBSV_DI72,14.39,12.49,1.9,-36.40625,91069568669,10.95937328
1,D10,12,8_10,TBSV,TBSV_DI72,12.315,13.985,-1.67,-39.97625,1.08156E+12,12.03405036
1,F07,17,8_10,TBSV,TBSV_DI72,12.125,15.105,-2.98,-41.28625,2.68163E+12,12.42839966
1,F10,27,8_10,TBSV,TBSV_DI72,20.455,10.54,9.915,-28.39125,352060956.4,8.546617864
1,E01,47,8_10,TBSV,TBSV_DI72,16.01,14.365,1.645,-36.66125,1.08677E+11,11.03613593
1,E04,54,8_10,TBSV,TBSV_DI72,12.065,15.53,-3.465,-41.77125,3.75318E+12,12.57439921
1,E02,7,4_9,DI72,TBSV_DI73,45,17.56,27.44,-3.0575,8.325286957,0.920399212
1,F05,18,4_9,DI72,TBSV_DI73,45,17.75,27.25,-3.2475,9.497185285,0.977594911
1,H02,23,4_9,DI72,TBSV_DI73,29.825,19.895,9.93,-20.5675,1553940.679,6.191434436
1,G06,26,4_9,DI72,TBSV_DI73,13.21,13.375,-0.165,-30.6625,1699543332,9.230332242
1,H09,31,4_9,DI72,TBSV_DI73,45,17.735,27.265,-3.2325,9.398952634,0.973079461
1,B05,4,8_1,DI72,TBSV_DI73,15.635,16.335,-0.7,-31.1975,2462539978,9.39138329
1,A08,8,8_1,DI72,TBSV_DI73,15.055,17.71,-2.655,-33.1525,9547659697,9.979896931
1,H08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,-31.5425,3127797572,9.495238638
1,H02,30,8_1,DI72,TBSV_DI73,16.76,26.275,-9.515,-40.0125,1.10908E+12,12.0449627
1,H05,30,8_1,DI72,TBSV_DI73,15.49,16.525,-1.035,-31.5325,3106192296,9.492228338
1,B02,35,8_1,DI72,TBSV_DI73,9.385,11.01,-1.625,-32.1225,4675585851,9.669836036
1,H08,2,8_10,DI72,TBSV_DI73,45,22.97,22.03,-8.4675,353.9741017,2.548971488
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-28.7575,453805860.7,8.6568701
1,H05,14,8_10,DI72,TBSV_DI73,21.27,18.575,2.695,-27.8025,234091936.6,8.369386454
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-32.3025,5296895865,9.724021435
1,H02,41,8_10,DI72,TBSV_DI73,45,18.28,26.72,-3.7775,13.71326311,1.137140809
1,E03,7,4_9,DI73,TBSV_DI73,45,17.095,27.905,-14.5875,24619.26379,4.391275062
1,H04,18,4_9,DI73,TBSV_DI73,28.27,16.37,11.9,-30.5925,1619049558,9.209260142
1,G03,23,4_9,DI73,TBSV_DI73,30.62,19.195,11.425,-31.0675,2250346479,9.35224939
1,G07,26,4_9,DI73,TBSV_DI73,25.04,12.82,12.22,-30.2725,1296971831,9.112930544
1,G10,31,4_9,DI73,TBSV_DI73,45,17.165,27.835,-14.6575,25843.25194,4.412347161
1,B06,4,8_1,DI73,TBSV_DI73,26.335,17.99,8.345,-34.1475,19029254608,10.27942178
1,A09,8,8_1,DI73,TBSV_DI73,25.685,45,-19.315,-61.8075,4.03563E+18,18.60591146
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-32.4225,5756321399,9.760145034
1,G03,30,8_1,DI73,TBSV_DI73,24.45,18.04,6.41,-36.0825,72763707359,10.86191482
1,H06,30,8_1,DI73,TBSV_DI73,24.55,20.235,4.315,-38.1775,3.10866E+11,11.49257266
1,B03,35,8_1,DI73,TBSV_DI73,23.65,8.26,15.39,-27.1025,144100490,8.158665457
1,B01,35,8_1,DI73,TBSV_DI73,16.87,11.705,5.165,-37.3275,1.72463E+11,11.23669716
1,H09,2,8_10,DI73,TBSV_DI73,17.24,17.475,-0.235,-42.7275,7.28214E+12,12.86225914
1,B12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-30.4525,1469318487,9.167115943
1,H06,14,8_10,DI73,TBSV_DI73,25.345,17.785,7.56,-34.9325,32789162459,10.51573032
1,B09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-36.0225,69799613658,10.84385302
1,H03,41,8_10,DI73,TBSV_DI73,33.37,15.915,17.455,-25.0375,34438047.16,7.537038516
1,E01,7,4_9,TBSV,TBSV_DI73,13.03,17.095,-4.065,-42.37125,5.68875E+12,12.7550172
1,E04,18,4_9,TBSV,TBSV_DI73,11.815,16.805,-4.99,-43.29625,1.08011E+13,13.03346995
1,G01,23,4_9,TBSV,TBSV_DI73,11.95,18.83,-6.88,-45.18625,4.00329E+13,13.60241664
1,G05,26,4_9,TBSV,TBSV_DI73,13.12,14.26,-1.14,-39.44625,7.49039E+11,11.87450447
1,H08,31,4_9,TBSV,TBSV_DI73,11.77,18.935,-7.165,-45.47125,4.87765E+13,13.68821019
1,B04,4,8_1,TBSV,TBSV_DI73,12.21,15.875,-3.665,-41.97125,4.31127E+12,12.63460521
1,B07,8,8_1,TBSV,TBSV_DI73,13.155,18.085,-4.93,-43.23625,1.03612E+13,13.01540815
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555,-40.86125,1.99739E+12,12.30046191
1,H04,30,8_1,TBSV,TBSV_DI73,12.985,16.59,-3.605,-41.91125,4.13565E+12,12.61654341
1,G01,30,8_1,TBSV,TBSV_DI73,14.21,17.165,-2.955,-41.26125,2.63557E+12,12.42087391
1,G07,2,8_10,TBSV,TBSV_DI73,11.28,16.885,-5.605,-43.91125,1.65426E+13,13.2186034
1,B10,3,8_10,TBSV,TBSV_DI73,15.045,16.015,-0.97,-39.27625,6.65778E+11,11.82332937
1,G04,14,8_10,TBSV,TBSV_DI73,11.38,15.495,-4.115,-42.42125,5.88937E+12,12.7700687
1,B07,38,8_10,TBSV,TBSV_DI73,12.775,19.97,-7.195,-45.50125,4.98013E+13,13.69724109
1,G01,41,8_10,TBSV,TBSV_DI73,12.135,14.855,-2.72,-41.02625,2.2394E+12,12.35013186
2,A05,,3_23,DI72,neg_ctrl,31.69666667,12.27666667,19.42,8.929166667,0.002051412,-2.687947003
2,A05,,8_1,DI72,neg_ctrl,35.905,45,-9.095,-19.58583333,786906.8456,5.895923323
2,A05,,8_10,DI72,neg_ctrl,37.02,45,-7.98,-18.47083333,363307.9307,5.560274878
2,A05,,4_9,DI73,neg_ctrl,32.19,11.69333333,20.49666667,10.00583333,0.000972622,-3.012055965
2,A06,,8_1,DI73,neg_ctrl,45,41.865,3.135,-7.355833333,163.8047444,2.214326476
2,A06,,8_10,DI73,neg_ctrl,45,40.215,4.785,-5.705833333,52.19476945,1.717626984
2,A04,,3_23,TBSV,neg_ctrl,38.97,35.265,3.705,-6.785833333,110.3416259,2.042739379
2,A04,,4_9,TBSV,neg_ctrl,37.83666667,27.26666667,10.57,0.079166667,0.946604269,-0.023831541
2,A04,,8_1,TBSV,neg_ctrl,30.9,25.88,5.02,-5.470833333,44.34911263,1.646884935
2,A04,,8_10,TBSV,neg_ctrl,45,33.37,11.63,1.139166667,0.454021755,-0.342923337
2,G11,37,8_10,DI72,neg_plt,28.795,15.045,13.75,-24.55625,24669925.1,7.392167831
2,H12,37,8_10,DI73,neg_plt,45,13.785,31.215,-7.09125,136.3574769,2.134678957
2,H10,37,8_10,TBSV,neg_plt,40.325,12.78,27.545,-10.76125,1735.637564,3.239459041
2,A02,,3_23,DI72,pos_ctrl,25.15666667,20.68666667,4.47,7.560416667,0.005297705,-2.275912196
2,A02,,4_9,DI72,pos_ctrl,26.53,21.79333333,4.736666667,7.827083333,0.004403653,-2.356186862
2,A02,,8_1,DI72,pos_ctrl,10.39,23.275,-12.885,-9.794583333,888.1030844,2.948463378
2,B02,,8_10,DI72,pos_ctrl,10.315,45,-34.685,-31.59458333,3242778492,9.510917284
2,A03,,3_23,DI73,pos_ctrl,30.01333333,22.51666667,7.496666667,10.58708333,0.000650085,-3.18702965
2,A03,,4_9,DI73,pos_ctrl,30.58666667,20.34666667,10.24,13.33041667,9.70833E-05,-4.012855271
2,A03,,8_1,DI73,pos_ctrl,12.57,29.71,-17.14,-14.04958333,16956.88247,4.22934601
2,A03,,8_10,DI73,pos_ctrl,11.86,22.505,-10.645,-7.554583333,187.9992809,2.274156188
2,A01,,3_23,TBSV,pos_ctrl,33.76,25.78333333,7.976666667,11.06708333,0.000466097,-3.331524048
2,A01,,4_9,TBSV,pos_ctrl,33.68333333,23.99666667,9.686666667,12.77708333,0.000142467,-3.84628534
2,A01,,8_1,TBSV,pos_ctrl,9.07,22.595,-13.525,-10.43458333,1383.956933,3.141122576
2,A01,,8_10,TBSV,pos_ctrl,10.525,37.62,-27.095,-24.00458333,16830600.7,7.226099617
2,B10,2,3_23,DI72,TBSV,18.61,18.51,0.1,-30.3975,1414357811,9.150559293
2,C10,3,3_23,DI72,TBSV,15.74,17.775,-2.035,-32.5325,6212384593,9.793258334
2,B07,10,3_23,DI72,TBSV,15.68,16.73,-1.05,-31.5475,3138656499,9.496743788
2,D07,12,3_23,DI72,TBSV,15.73,17.175,-1.445,-31.9425,4127153640,9.615650636
2,C12,13,3_23,DI72,TBSV,30.04,18.035,12.005,-18.4925,368805.335,5.566797195
2,C12,8,4_9,DI72,TBSV,15.43,13.115,2.315,-28.1825,304633635.1,8.483777853
2,A10,16,4_9,DI72,TBSV,15.735,14.23,1.505,-28.9925,534087174.9,8.727612149
2,D07,17,4_9,DI72,TBSV,19.8,17.97,1.83,-28.6675,426360929.9,8.629777401
2,B07,25,4_9,DI72,TBSV,23.52,18.115,5.405,-25.0925,35776278.79,7.553595166
